Id,Name,Note,RepairDate,CarId,CreateDate,KilometerCounter,IsDeleted
b8103c99-761e-4e93-803e-2e589f52c24a,Wymiana podpora wału,"Podpora wału febi 
dodatkowo wymieniony został tylny tłumik drgan wału(używany z innego samochodu).",2020-09-19 14:21:00.0000000,884db602-d5b9-4f74-84bd-ea220181ca38,2020-09-22 14:22:08.4001186,200000,0
bbfc5153-858e-4d2f-b2f8-202ea4ea7445,Wymiana oleju,oe666/1,2020-04-02 00:00:00.0000000,c4054a1c-9b36-4d8e-adab-3b53fae76800,2020-04-13 23:46:25.7736592,200000,1
bf6aa6bc-81fd-4afa-abed-7170c29d2879,Wstawienie tempomatu i kierownicy,"wstawienie tempomatu
 i zaprogramowanie programem ncsExpert  dodanie FA $540",2020-08-21 20:29:00.0000000,050a6a0b-29ea-45eb-b43b-b91ed37b2021,2020-08-21 20:29:59.3342508,204000,0
bf7af654-bb6a-48dc-b5cc-417b63a4cf7c,Wymiana rozrzadu,rozrzad ina,2020-04-03 00:00:00.0000000,f96cfd8c-cf6d-479f-b266-c2fc14193ea4,2020-04-13 23:48:49.8338990,42424,1
c746a3e6-a65b-43c5-8ac2-4e511a64812c,Wymiana Oleju,feoe666,2020-02-05 00:00:00.0000000,8a2f1718-bfe9-44fe-864b-c8f32c9a4466,2020-04-13 23:39:21.4293881,340000,1
ca834089-4866-4788-bc20-37abd602dca2,Uszczelnienie pokrywy zaworów(z odma),"Uszczelnienie pokrywy zaworów(z odma)-
Po wyczyszczeniu został połozony czarny silikon erlinga. Naprawa została wykonana przy okazji próby wyjęcia wtryskiwaczy.",2020-08-07 00:00:00.0000000,7f1921f9-1170-48f3-bad0-2998bded407b,2020-08-07 17:21:41.7429000,276066,0
cdf41606-65c2-4e53-b241-9db8b0c6c677,olej test 2,test,2020-05-30 00:00:00.0000000,050a6a0b-29ea-45eb-b43b-b91ed37b2021,2020-05-31 01:28:18.3964915,230000,1
d88720ea-c3c4-4ed0-a1b6-a029f705a7a5,testowe olej,olej,2020-05-30 00:00:00.0000000,cf26828e-2595-4f3e-9403-fdfcfef42352,2020-05-31 01:24:11.4503670,251000,1
da7380bc-3cdc-40b8-846c-89e23dfeafe2,testolej,olej,2020-05-30 00:00:00.0000000,050a6a0b-29ea-45eb-b43b-b91ed37b2021,2020-05-31 01:24:40.2830161,201000,1
db1bce10-272b-4f17-93d7-7ce28f0798e6,wymiana oleju test,"fe666/1
5litrow 5w30",2020-05-22 00:00:00.0000000,04c99463-9b8b-48d0-9594-632b26376dfc,2020-05-31 02:18:32.4758869,3535353,1
e4b2d485-3834-4312-829a-e853a215095d,Wymiana hamulców tył,"Wymiana 
Tarcze z łożyskiem ABE
klocki TRW
uszczelnienie tłoczka lewa stronaa",2020-08-07 00:00:00.0000000,7f1921f9-1170-48f3-bad0-2998bded407b,2020-08-07 17:15:30.0176385,276066,0
